Timestamp,Voltage (V),Current (A),Power (W),Energy (kWh),Frequency (Hz),Power Factor
2024-11-04 14:54:37,214.30,0.14,27.00,0.197,50.0,0.87
2024-11-04 14:54:38,214.30,0.14,27.10,0.197,50.0,0.88
2024-11-04 14:54:39,214.30,0.14,27.10,0.197,50.0,0.88
2024-11-04 14:54:39,214.80,0.14,27.20,0.197,50.0,0.88
2024-11-04 14:54:40,214.80,0.14,27.20,0.197,50.0,0.88
2024-11-04 14:54:40,214.80,0.14,27.20,0.197,50.0,0.88
2024-11-04 14:54:41,214.80,0.14,27.20,0.197,50.0,0.88
2024-11-04 14:54:42,214.80,0.14,27.20,0.197,50.0,0.88
2024-11-04 14:54:42,214.80,0.14,27.20,0.197,50.0,0.88
2024-11-04 14:54:43,214.80,0.14,27.20,0.197,50.0,0.88
2024-11-04 14:54:43,214.50,0.14,27.10,0.197,50.0,0.88
2024-11-04 14:54:44,214.50,0.14,27.10,0.197,50.0,0.88
2024-11-04 14:54:45,214.60,0.14,27.20,0.197,50.0,0.88
2024-11-04 14:54:45,214.60,0.14,27.20,0.197,50.0,0.88
2024-11-04 14:54:46,214.90,0.14,27.20,0.197,50.0,0.88
2024-11-04 14:54:46,214.90,0.14,27.20,0.197,50.0,0.88
2024-11-04 14:54:47,212.90,1.56,281.70,0.197,50.0,0.85
2024-11-04 14:54:48,212.90,1.56,281.70,0.197,50.0,0.85
2024-11-04 14:54:48,212.10,2.49,513.30,0.198,50.0,0.97
2024-11-04 14:54:49,212.10,2.49,513.30,0.198,50.0,0.97
2024-11-04 14:54:49,211.60,2.99,621.10,0.198,50.0,0.98
2024-11-04 14:54:50,211.60,2.99,621.10,0.198,50.0,0.98
2024-11-04 14:54:51,211.60,2.99,621.10,0.198,50.0,0.98
2024-11-04 14:54:51,211.30,3.26,678.70,0.198,50.0,0.98
2024-11-04 14:54:52,211.30,3.26,678.70,0.198,50.0,0.98
2024-11-04 14:54:52,210.80,3.45,717.30,0.198,50.0,0.99
2024-11-04 14:54:53,210.80,3.45,717.30,0.198,50.0,0.99
2024-11-04 14:54:54,211.10,3.61,750.40,0.199,50.0,0.99
2024-11-04 14:54:54,211.10,3.61,750.40,0.199,50.0,0.99
2024-11-04 14:54:55,211.50,3.72,775.90,0.199,50.0,0.99
2024-11-04 14:54:55,211.50,3.72,775.90,0.199,50.0,0.99
2024-11-04 14:54:56,211.60,3.78,789.50,0.199,50.0,0.99
2024-11-04 14:54:57,211.60,3.78,789.50,0.199,50.0,0.99
2024-11-04 14:54:57,211.50,3.82,797.40,0.199,50.0,0.99
2024-11-04 14:54:58,211.50,3.82,797.40,0.199,50.0,0.99
2024-11-04 14:54:58,211.50,3.82,817.90,0.200,50.0,1.00
2024-11-04 14:54:59,211.40,3.92,817.90,0.200,50.0,0.99
2024-11-04 14:55:00,211.40,3.92,817.90,0.200,50.0,0.99
2024-11-04 14:55:00,211.70,4.00,834.60,0.200,50.0,0.99
2024-11-04 14:55:01,211.70,4.00,834.60,0.200,50.0,0.99
2024-11-04 14:55:01,212.20,4.03,842.50,0.200,50.0,0.99
2024-11-04 14:55:02,212.20,4.03,842.50,0.200,50.0,0.99
2024-11-04 14:55:03,212.00,4.02,840.90,0.201,50.0,0.99
2024-11-04 14:55:03,212.00,4.02,840.90,0.201,50.0,0.99
2024-11-04 14:55:04,212.20,3.97,830.60,0.201,50.0,0.99
2024-11-04 14:55:04,212.20,3.97,830.60,0.201,50.0,0.99
2024-11-04 14:55:05,212.30,3.93,822.40,0.201,50.0,0.99
2024-11-04 14:55:05,212.30,3.93,822.40,0.201,50.0,0.99
2024-11-04 14:55:06,211.80,3.88,810.90,0.201,50.0,0.99
2024-11-04 14:55:07,211.80,3.88,810.90,0.201,50.0,0.99
2024-11-04 14:55:07,211.90,3.87,806.90,0.202,50.0,0.99
2024-11-04 14:55:08,211.90,3.87,806.90,0.202,50.0,0.99
2024-11-04 14:55:08,211.90,3.85,804.30,0.202,50.0,0.99
2024-11-04 14:55:09,211.90,3.85,804.30,0.202,50.0,0.99
2024-11-04 14:55:10,211.90,3.85,804.30,0.202,50.0,0.99
2024-11-04 14:55:10,212.00,3.84,802.70,0.202,50.0,0.99
2024-11-04 14:55:11,212.00,3.84,802.70,0.202,50.0,0.99
2024-11-04 14:55:11,212.50,3.84,803.70,0.203,50.0,0.99
2024-11-04 14:55:12,212.50,3.84,803.70,0.203,50.0,0.99
2024-11-04 14:55:13,212.40,3.84,803.40,0.203,50.0,0.99
2024-11-04 14:55:13,212.40,3.84,803.40,0.203,50.0,0.99
2024-11-04 14:55:14,212.40,3.83,801.80,0.203,50.0,0.98
2024-11-04 14:55:14,212.40,3.83,801.80,0.203,50.0,0.98
2024-11-04 14:55:15,212.40,3.83,801.80,0.203,50.0,0.98
2024-11-04 14:55:16,212.60,3.82,800.70,0.203,50.0,0.99
2024-11-04 14:55:16,212.60,3.82,800.70,0.204,50.0,0.99
2024-11-04 14:55:17,212.60,3.82,799.70,0.204,50.0,0.99
2024-11-04 14:55:17,212.60,3.82,799.70,0.204,50.0,0.99
2024-11-04 14:55:18,212.40,3.82,798.60,0.204,50.0,0.99
2024-11-04 14:55:19,212.40,3.82,798.60,0.204,50.0,0.99
2024-11-04 14:55:19,211.90,3.82,797.20,0.204,50.0,0.99
2024-11-04 14:55:20,211.90,3.82,797.20,0.204,50.0,0.99
2024-11-04 14:55:20,211.80,3.82,796.90,0.205,50.0,0.99
2024-11-04 14:55:21,211.80,3.82,796.90,0.205,50.0,0.99
2024-11-04 14:55:22,211.60,3.81,795.30,0.205,50.0,0.99
2024-11-04 14:55:22,211.60,3.81,795.30,0.205,50.0,0.99
2024-11-04 14:55:23,211.90,3.81,795.00,0.205,50.0,0.99
2024-11-04 14:55:23,211.90,3.81,795.00,0.205,50.0,0.99
2024-11-04 14:55:24,211.90,3.80,794.00,0.205,50.0,0.99
2024-11-04 14:55:25,211.90,3.80,794.00,0.205,50.0,0.99
2024-11-04 14:55:25,212.30,3.79,793.40,0.206,50.0,0.99
2024-11-04 14:55:26,212.30,3.79,793.40,0.206,50.0,0.99
2024-11-04 14:55:26,212.30,3.79,793.40,0.206,50.0,0.99
2024-11-04 14:55:27,212.00,3.80,793.50,0.206,50.0,0.98
2024-11-04 14:55:28,212.00,3.80,793.50,0.206,50.0,0.98
2024-11-04 14:55:28,212.00,3.80,793.70,0.206,50.0,0.98
2024-11-04 14:55:29,212.00,3.80,793.70,0.206,50.0,0.98
2024-11-04 14:55:29,211.90,3.80,792.90,0.207,50.0,0.99
2024-11-04 14:55:30,211.90,3.80,792.90,0.207,50.0,0.99
2024-11-04 14:55:31,211.90,3.80,794.30,0.207,50.0,0.99
2024-11-04 14:55:31,211.90,3.80,794.30,0.207,50.0,0.99
2024-11-04 14:55:32,211.90,3.82,796.20,0.207,50.0,0.98
2024-11-04 14:55:32,211.90,3.82,796.20,0.207,50.0,0.98
2024-11-04 14:55:33,211.90,3.82,797.10,0.207,50.0,0.99
2024-11-04 14:55:34,211.90,3.82,797.10,0.207,50.0,0.99
2024-11-04 14:55:34,211.90,3.82,797.10,0.208,50.0,0.99
2024-11-04 14:55:35,211.60,3.83,798.90,0.208,50.0,0.99
2024-11-04 14:55:35,211.60,3.83,798.90,0.208,50.0,0.99
2024-11-04 14:55:36,211.40,3.84,800.30,0.208,50.0,0.99
2024-11-04 14:55:36,211.40,3.84,800.30,0.208,50.0,0.99
2024-11-04 14:55:37,211.50,3.84,801.10,0.208,50.0,0.99
2024-11-04 14:55:38,211.50,3.84,801.10,0.208,50.0,0.99
2024-11-04 14:55:38,211.50,3.84,801.50,0.209,50.0,0.99
2024-11-04 14:55:39,211.50,3.84,801.50,0.209,50.0,0.99
2024-11-04 14:55:39,211.10,3.85,802.10,0.209,50.0,0.99
2024-11-04 14:55:40,211.10,3.85,802.10,0.209,50.0,0.99
2024-11-04 14:55:41,211.20,3.86,803.60,0.209,50.0,0.99
2024-11-04 14:55:41,211.20,3.86,803.60,0.209,50.0,0.99
2024-11-04 14:55:42,211.20,3.86,804.00,0.209,50.0,0.99
2024-11-04 14:55:42,211.20,3.86,804.00,0.209,50.0,0.99
2024-11-04 14:55:43,211.20,3.86,804.00,0.210,50.0,0.99
2024-11-04 14:55:44,211.30,3.86,805.00,0.210,50.0,0.99
2024-11-04 14:55:44,211.30,3.86,805.00,0.210,50.0,0.99
2024-11-04 14:55:45,211.20,3.87,806.00,0.210,50.0,0.99
2024-11-04 14:55:45,211.20,3.87,806.00,0.210,50.0,0.99
2024-11-04 14:55:46,211.00,3.88,806.50,0.210,50.0,0.99
2024-11-04 14:55:47,211.00,3.88,806.50,0.210,50.0,0.99
2024-11-04 14:55:47,211.20,3.88,807.30,0.211,50.0,0.99
2024-11-04 14:55:48,211.20,3.88,807.30,0.211,50.0,0.99
2024-11-04 14:55:48,211.40,3.88,808.00,0.211,50.0,0.99
2024-11-04 14:55:49,211.40,3.88,808.00,0.211,50.0,0.99
2024-11-04 14:55:50,211.00,3.88,808.00,0.211,50.0,0.99
2024-11-04 14:55:50,211.00,3.88,808.00,0.211,50.0,0.99
2024-11-04 14:55:51,210.70,3.89,807.80,0.211,50.0,0.99
2024-11-04 14:55:51,210.70,3.89,807.80,0.211,50.0,0.99
2024-11-04 14:55:52,210.60,3.89,808.60,0.212,50.0,0.99
2024-11-04 14:55:53,210.60,3.89,808.60,0.212,50.0,0.99
2024-11-04 14:55:53,210.60,3.89,808.60,0.212,50.0,0.99
2024-11-04 14:55:54,210.70,3.90,809.50,0.212,50.0,0.99
2024-11-04 14:55:54,210.70,3.90,809.50,0.212,50.0,0.99
2024-11-04 14:55:55,211.00,3.90,810.80,0.212,50.0,0.99
2024-11-04 14:55:56,211.00,3.90,810.80,0.212,50.0,0.99
2024-11-04 14:55:56,211.10,3.89,810.60,0.213,50.0,0.99
2024-11-04 14:55:57,211.10,3.89,810.60,0.213,50.0,0.99
2024-11-04 14:55:57,211.30,3.89,810.50,0.213,50.0,0.99
2024-11-04 14:55:58,211.30,3.89,810.50,0.213,50.0,0.99
2024-11-04 14:55:59,211.30,3.90,810.80,0.213,50.0,0.98
2024-11-04 14:55:59,211.20,3.90,810.80,0.213,50.0,0.99
2024-11-04 14:56:00,211.20,3.90,810.80,0.213,50.0,0.99
2024-11-04 14:56:00,211.10,3.90,811.00,0.213,50.0,0.99
2024-11-04 14:56:01,211.10,3.90,811.00,0.214,50.0,0.99
2024-11-04 14:56:02,211.20,3.89,810.80,0.214,50.0,0.99
2024-11-04 14:56:02,211.20,3.89,810.80,0.214,50.0,0.99
2024-11-04 14:56:03,210.80,3.90,811.10,0.214,50.0,0.99
2024-11-04 14:56:03,210.80,3.90,811.10,0.214,50.0,0.99
2024-11-04 14:56:04,210.80,3.91,812.60,0.214,50.0,0.99
2024-11-04 14:56:05,210.80,3.91,812.60,0.214,50.0,0.99
2024-11-04 14:56:05,211.60,3.90,813.90,0.215,50.0,0.99
2024-11-04 14:56:06,211.60,3.90,813.90,0.215,50.0,0.99
2024-11-04 14:56:06,211.60,3.90,814.20,0.215,50.0,0.99
2024-11-04 14:56:07,211.60,3.90,814.20,0.215,50.0,0.99
2024-11-04 14:56:08,211.60,3.91,815.20,0.215,50.0,0.99
2024-11-04 14:56:08,211.60,3.91,815.20,0.215,50.0,0.99
2024-11-04 14:56:09,211.70,3.91,816.60,0.215,50.0,0.99
2024-11-04 14:56:09,211.70,3.91,816.60,0.216,50.0,0.99
2024-11-04 14:56:10,211.70,3.91,816.60,0.216,50.0,0.99
2024-11-04 14:56:10,211.80,3.92,818.10,0.216,50.0,0.99
2024-11-04 14:56:11,211.80,3.92,818.10,0.216,50.0,0.99
2024-11-04 14:56:12,211.70,3.92,818.40,0.216,50.0,0.99
2024-11-04 14:56:12,211.70,3.92,818.40,0.216,50.0,0.99
2024-11-04 14:56:13,211.60,3.93,819.40,0.216,50.0,0.99
2024-11-04 14:56:13,211.60,3.93,819.40,0.216,50.0,0.99
2024-11-04 14:56:14,211.50,3.94,821.10,0.217,50.0,0.99
2024-11-04 14:56:15,211.50,3.94,821.10,0.217,50.0,0.99
2024-11-04 14:56:15,211.60,3.94,822.30,0.217,50.0,0.99
2024-11-04 14:56:16,211.60,3.94,822.30,0.217,50.0,0.99
2024-11-04 14:56:16,211.50,3.95,823.30,0.217,50.0,0.99
2024-11-04 14:56:17,211.50,3.95,823.30,0.217,50.0,0.99
2024-11-04 14:56:18,211.50,3.95,823.30,0.217,50.0,0.99
2024-11-04 14:56:18,211.40,3.95,823.70,0.218,50.0,0.99
2024-11-04 14:56:19,211.40,3.95,823.70,0.218,50.0,0.99
2024-11-04 14:56:19,211.60,3.95,825.00,0.218,50.0,0.99
2024-11-04 14:56:20,211.60,3.95,825.00,0.218,50.0,0.99
2024-11-04 14:56:21,211.40,3.96,825.50,0.218,50.0,0.99
2024-11-04 14:56:21,211.40,3.96,825.50,0.218,50.0,0.99
2024-11-04 14:56:22,211.50,3.97,826.70,0.218,50.0,0.99
2024-11-04 14:56:22,211.50,3.97,826.70,0.219,50.0,0.99
2024-11-04 14:56:23,211.50,3.97,827.50,0.219,50.0,0.99
2024-11-04 14:56:24,211.50,3.97,827.50,0.219,50.0,0.99
2024-11-04 14:56:24,211.50,3.97,827.80,0.219,50.0,0.99
2024-11-04 14:56:25,211.50,3.97,827.80,0.219,50.0,0.99
2024-11-04 14:56:25,211.30,3.98,828.60,0.219,50.0,0.99
2024-11-04 14:56:26,211.30,3.98,828.60,0.219,50.0,0.99
2024-11-04 14:56:27,211.30,3.98,828.60,0.219,50.0,0.99
2024-11-04 14:56:27,211.30,3.98,828.80,0.220,50.0,0.99
2024-11-04 14:56:28,211.30,3.98,828.80,0.220,50.0,0.99
2024-11-04 14:56:28,211.60,3.98,829.80,0.220,50.0,0.99
2024-11-04 14:56:29,211.60,3.98,829.80,0.220,50.0,0.99
2024-11-04 14:56:30,211.60,3.98,830.20,0.220,50.0,0.99
2024-11-04 14:56:30,211.60,3.98,830.20,0.220,50.0,0.99
2024-11-04 14:56:31,211.60,3.98,829.90,0.220,50.0,0.99
2024-11-04 14:56:31,211.60,3.98,829.90,0.221,50.0,0.99
2024-11-04 14:56:32,211.70,3.98,830.10,0.221,50.0,0.99
2024-11-04 14:56:33,211.70,3.98,830.10,0.221,50.0,0.99
2024-11-04 14:56:33,211.70,3.97,829.30,0.221,50.0,0.99
2024-11-04 14:56:34,211.70,3.97,829.30,0.221,50.0,0.99
2024-11-04 14:56:34,211.70,3.97,828.70,0.221,50.0,0.99
2024-11-04 14:56:35,211.70,3.97,828.70,0.221,50.0,0.99
2024-11-04 14:56:36,211.70,3.97,828.70,0.222,50.0,0.99
2024-11-04 14:56:36,211.60,3.97,827.80,0.222,50.0,0.99
2024-11-04 14:56:37,211.60,3.97,827.80,0.222,50.0,0.99
2024-11-04 14:56:37,211.50,3.96,826.10,0.222,50.0,0.99
2024-11-04 14:56:38,211.50,3.96,826.10,0.222,49.9,0.99
2024-11-04 14:56:38,211.30,3.96,825.10,0.222,50.0,0.99
2024-11-04 14:56:39,211.30,3.96,825.10,0.222,50.0,0.99
2024-11-04 14:56:40,211.40,3.96,824.60,0.223,50.0,0.99
2024-11-04 14:56:40,211.40,3.96,824.60,0.223,50.0,0.99
2024-11-04 14:56:41,211.40,3.95,824.40,0.223,50.0,0.99
2024-11-04 14:56:41,211.40,3.95,824.40,0.223,50.0,0.99
2024-11-04 14:56:42,211.50,3.96,824.70,0.223,50.0,0.99
2024-11-04 14:56:43,211.50,3.96,824.70,0.223,50.0,0.99
2024-11-04 14:56:43,211.50,3.96,824.70,0.223,49.9,0.99
2024-11-04 14:56:44,211.50,3.96,825.10,0.223,50.0,0.99
2024-11-04 14:56:44,211.50,3.96,825.10,0.224,50.0,0.99
2024-11-04 14:56:45,211.50,3.96,825.60,0.224,49.9,0.99
2024-11-04 14:56:46,211.50,3.96,825.60,0.224,49.9,0.99
2024-11-04 14:56:46,211.40,3.96,825.70,0.224,50.0,0.99
2024-11-04 14:56:47,211.40,3.96,825.70,0.224,49.9,0.99
2024-11-04 14:56:47,211.30,3.96,825.10,0.224,49.9,0.99
2024-11-04 14:56:48,211.30,3.96,825.10,0.224,50.0,0.99
2024-11-04 14:56:49,211.50,3.95,825.00,0.225,50.0,0.99
2024-11-04 14:56:49,211.50,3.95,825.00,0.225,50.0,0.99
2024-11-04 14:56:50,211.40,3.96,825.10,0.225,50.0,0.99
2024-11-04 14:56:50,211.40,3.96,825.10,0.225,49.9,0.99
2024-11-04 14:56:51,211.40,3.96,825.00,0.225,49.9,0.99
2024-11-04 14:56:52,211.40,3.96,825.00,0.225,49.9,0.99
2024-11-04 14:56:52,211.50,3.96,825.70,0.225,50.0,0.99
2024-11-04 14:56:53,211.50,3.96,825.70,0.225,50.0,0.99
2024-11-04 14:56:53,211.50,3.96,825.70,0.226,50.0,0.99
2024-11-04 14:56:54,211.40,3.96,826.20,0.226,49.9,0.99
2024-11-04 14:56:55,211.40,3.96,826.20,0.226,50.0,0.99
2024-11-04 14:56:55,211.80,3.96,826.90,0.226,50.0,0.99
2024-11-04 14:56:56,211.80,3.96,826.90,0.226,50.0,0.99
2024-11-04 14:56:56,211.80,3.96,827.00,0.226,49.9,0.99
2024-11-04 14:56:57,211.80,3.96,827.00,0.226,49.9,0.99
2024-11-04 14:56:58,211.80,3.97,827.60,0.227,49.9,0.99
2024-11-04 14:56:58,211.80,3.97,827.60,0.227,50.0,0.99
2024-11-04 14:56:59,211.80,3.97,827.60,0.227,50.0,0.99
2024-11-04 14:56:59,211.80,3.97,827.60,0.227,49.9,0.99
2024-11-04 14:57:00,211.50,3.97,827.10,0.227,49.9,0.99
2024-11-04 14:57:01,211.50,3.97,827.10,0.227,50.0,0.99
2024-11-04 14:57:01,211.50,3.97,827.10,0.227,50.0,0.99
2024-11-04 14:57:02,211.40,3.97,827.40,0.228,49.9,0.99
2024-11-04 14:57:02,211.40,3.97,827.40,0.228,49.9,0.99
2024-11-04 14:57:03,211.40,3.97,827.40,0.228,50.0,0.99
2024-11-04 14:57:04,211.40,3.97,827.40,0.228,50.0,0.99
2024-11-04 14:57:04,211.50,3.97,828.00,0.228,49.9,0.99
2024-11-04 14:57:05,211.50,3.97,828.00,0.228,49.9,0.99
2024-11-04 14:57:05,211.70,3.97,828.30,0.228,49.9,0.99
2024-11-04 14:57:06,211.70,3.97,828.30,0.228,49.9,0.99
2024-11-04 14:57:07,211.90,3.96,828.20,0.229,50.0,0.99
2024-11-04 14:57:07,211.90,3.96,828.20,0.229,50.0,0.99
2024-11-04 14:57:08,211.90,3.96,827.90,0.229,49.9,0.99
2024-11-04 14:57:08,211.90,3.96,827.90,0.229,49.9,0.99
2024-11-04 14:57:09,211.60,3.97,827.10,0.229,49.9,0.99
2024-11-04 14:57:09,211.60,3.97,827.10,0.229,50.0,0.99
2024-11-04 14:57:10,211.60,3.97,827.10,0.229,50.0,0.99
2024-11-04 14:57:11,211.40,3.97,827.10,0.230,49.9,0.99
2024-11-04 14:57:11,211.40,3.97,827.10,0.230,50.0,0.99
2024-11-04 14:57:12,211.30,3.98,827.90,0.230,50.0,0.99
2024-11-04 14:57:12,211.30,3.98,827.90,0.230,50.0,0.99
2024-11-04 14:57:13,211.30,3.98,828.60,0.230,49.9,0.99
2024-11-04 14:57:14,211.30,3.98,828.60,0.230,50.0,0.99
2024-11-04 14:57:14,211.30,3.98,828.70,0.230,50.0,0.99
2024-11-04 14:57:15,211.30,3.98,828.70,0.231,50.0,0.99
2024-11-04 14:57:15,211.40,3.98,829.90,0.231,49.9,0.99
2024-11-04 14:57:16,211.40,3.98,829.90,0.231,50.0,0.99
2024-11-04 14:57:17,211.00,3.98,829.20,0.231,49.9,0.99
2024-11-04 14:57:17,211.00,3.98,829.20,0.231,50.0,0.99
2024-11-04 14:57:18,211.10,3.98,829.40,0.231,49.9,0.99
2024-11-04 14:57:18,211.10,3.98,829.40,0.231,50.0,0.99
2024-11-04 14:57:19,211.10,3.98,829.40,0.231,49.9,0.99
2024-11-04 14:57:20,211.10,3.98,829.80,0.232,50.0,0.99
2024-11-04 14:57:20,211.10,3.98,829.80,0.232,50.0,0.99
2024-11-04 14:57:21,211.00,3.99,829.70,0.232,49.9,0.99
2024-11-04 14:57:21,211.00,3.99,829.70,0.232,50.0,0.99
2024-11-04 14:57:22,211.10,3.99,830.20,0.232,50.0,0.99
2024-11-04 14:57:23,211.10,3.99,830.20,0.232,50.0,0.99
2024-11-04 14:57:23,211.20,3.99,831.00,0.232,50.0,0.99
2024-11-04 14:57:24,211.20,3.99,831.00,0.233,49.9,0.99
2024-11-04 14:57:24,211.30,4.00,832.30,0.233,49.9,0.99
2024-11-04 14:57:25,211.30,4.00,832.30,0.233,50.0,0.99
2024-11-04 14:57:26,211.20,4.01,833.70,0.233,50.0,0.99
2024-11-04 14:57:26,211.20,4.01,833.70,0.233,50.0,0.99
2024-11-04 14:57:27,211.20,4.01,833.70,0.233,50.0,0.99
2024-11-04 14:57:27,211.30,4.01,834.80,0.233,50.0,0.98
2024-11-04 14:57:28,211.30,4.01,834.80,0.234,50.0,0.98
2024-11-04 14:57:29,211.20,4.01,834.70,0.234,49.9,0.99
2024-11-04 14:57:29,211.20,4.01,834.70,0.234,49.9,0.99
2024-11-04 14:57:30,211.20,4.01,834.80,0.234,50.0,0.99
2024-11-04 14:57:30,211.20,4.01,834.80,0.234,50.0,0.99
2024-11-04 14:57:31,211.30,4.01,835.80,0.234,50.0,0.99
2024-11-04 14:57:32,211.30,4.01,835.80,0.234,50.0,0.99
2024-11-04 14:57:32,211.30,4.02,836.40,0.235,50.0,0.99
2024-11-04 14:57:33,211.30,4.02,836.40,0.235,50.0,0.99
2024-11-04 14:57:33,211.30,4.01,836.30,0.235,50.0,0.99
2024-11-04 14:57:34,211.30,4.01,836.30,0.235,50.0,0.99
2024-11-04 14:57:35,211.30,4.01,835.50,0.235,50.0,0.99
2024-11-04 14:57:35,211.30,4.01,835.50,0.235,50.0,0.99
2024-11-04 14:57:36,211.20,4.01,835.30,0.235,50.0,0.99
2024-11-04 14:57:36,211.20,4.01,835.30,0.236,50.0,0.99
2024-11-04 14:57:37,211.20,4.01,835.40,0.236,50.0,0.99
2024-11-04 14:57:38,211.20,4.01,835.40,0.236,50.0,0.99
2024-11-04 14:57:38,211.20,4.01,835.40,0.236,50.0,0.99
2024-11-04 14:57:39,211.20,4.01,835.90,0.236,50.0,0.99
2024-11-04 14:57:39,211.20,4.01,835.90,0.236,50.0,0.99
2024-11-04 14:57:40,211.20,4.01,835.30,0.236,49.9,0.99
2024-11-04 14:57:41,211.20,4.01,835.30,0.236,50.0,0.99
2024-11-04 14:57:41,211.30,4.01,834.80,0.237,50.0,0.99
2024-11-04 14:57:42,211.30,4.01,834.80,0.237,50.0,0.99
2024-11-04 14:57:42,211.50,4.01,834.70,0.237,49.9,0.99
2024-11-04 14:57:43,211.50,4.01,834.70,0.237,50.0,0.99
2024-11-04 14:57:43,211.50,4.01,834.70,0.237,50.0,0.99
2024-11-04 14:57:44,211.50,4.00,834.30,0.237,50.0,0.99
2024-11-04 14:57:45,211.50,4.00,834.30,0.237,50.0,0.99
